,type,url,review_rating,film_name,no_of_reviewer,sub_links
0,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,96%,Black Panther (2018),525,"[{'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1766955', 'language': 'Vietnamese', 'author': 'VuongNguyenVYA'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1768905', 'language': 'Vietnamese', 'author': 'ducbinh_dang'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1767550', 'language': 'Vietnamese', 'author': 'World_Translations'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1767300', 'language': 'Vietnamese', 'author': 'ahuyblog'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1767583', 'language': 'Vietnamese', 'author': 'ducbinh_dang'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1782883', 'language': 'Vietnamese', 'author': 'rongem88'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1779241', 'language': 'Vietnamese', 'author': 'QuangLeDuy'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1767583', 'language': 'Vietnamese', 'author': 'ducbinh_dang'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1768298', 'language': 'Vietnamese', 'author': 'HQMARVELDCVN'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1672434', 'language': 'Vietnamese', 'author': 'Thorett'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1767550', 'language': 'Vietnamese', 'author': 'World_Translations'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1767550', 'language': 'Vietnamese', 'author': 'World_Translations'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1767550', 'language': 'Vietnamese', 'author': 'World_Translations'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1767550', 'language': 'Vietnamese', 'author': 'World_Translations'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1767550', 'language': 'Vietnamese', 'author': 'World_Translations'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1767550', 'language': 'Vietnamese', 'author': 'World_Translations'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1767550', 'language': 'Vietnamese', 'author': 'World_Translations'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1767550', 'language': 'Vietnamese', 'author': 'World_Translations'}, {'sub_link': 'https://subscene.com//subtitles/black-panther-2018-1/vietnamese/1767550', 'language': 'Vietnamese', 'author': 'World_Translations'}]"
1,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,94%,Avengers: Endgame (2019),546,"[{'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2026993', 'language': 'Vietnamese', 'author': 'Red Foo'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/1979116', 'language': 'Vietnamese', 'author': 'Minh_Hieu'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/1978768', 'language': 'Vietnamese', 'author': 'Minh_Hieu'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024492', 'language': 'Vietnamese', 'author': 'aphr0moo'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024492', 'language': 'Vietnamese', 'author': 'aphr0moo'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024492', 'language': 'Vietnamese', 'author': 'aphr0moo'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/1981076', 'language': 'Vietnamese', 'author': 'iamshin'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/1979402', 'language': 'Vietnamese', 'author': 'AnYen98'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/1979144', 'language': 'Vietnamese', 'author': 'Vietsubteam'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024492', 'language': 'Vietnamese', 'author': 'aphr0moo'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024492', 'language': 'Vietnamese', 'author': 'aphr0moo'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024660', 'language': 'Vietnamese', 'author': 'AnYen98'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2043660', 'language': 'Vietnamese', 'author': 'Fan Duong'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024157', 'language': 'Vietnamese', 'author': 'ToBeu'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024492', 'language': 'Vietnamese', 'author': 'aphr0moo'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024492', 'language': 'Vietnamese', 'author': 'aphr0moo'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024157', 'language': 'Vietnamese', 'author': 'ToBeu'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024660', 'language': 'Vietnamese', 'author': 'AnYen98'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024660', 'language': 'Vietnamese', 'author': 'AnYen98'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024660', 'language': 'Vietnamese', 'author': 'AnYen98'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024660', 'language': 'Vietnamese', 'author': 'AnYen98'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024444', 'language': 'Vietnamese', 'author': 'DiepLe'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024660', 'language': 'Vietnamese', 'author': 'AnYen98'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024660', 'language': 'Vietnamese', 'author': 'AnYen98'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2028063', 'language': 'Vietnamese', 'author': 'tavanthuc_a11'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024157', 'language': 'Vietnamese', 'author': 'ToBeu'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024492', 'language': 'Vietnamese', 'author': 'aphr0moo'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024157', 'language': 'Vietnamese', 'author': 'ToBeu'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2023287', 'language': 'Vietnamese', 'author': 'tremocoivo'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2101448', 'language': 'Vietnamese', 'author': 'QuangLeDuy'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024660', 'language': 'Vietnamese', 'author': 'AnYen98'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024444', 'language': 'Vietnamese', 'author': 'DiepLe'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024660', 'language': 'Vietnamese', 'author': 'AnYen98'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024660', 'language': 'Vietnamese', 'author': 'AnYen98'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2027488', 'language': 'Vietnamese', 'author': 'DogNoob09'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024492', 'language': 'Vietnamese', 'author': 'aphr0moo'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2016028', 'language': 'Vietnamese', 'author': 'DogNoob09'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024444', 'language': 'Vietnamese', 'author': 'DiepLe'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024444', 'language': 'Vietnamese', 'author': 'DiepLe'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024444', 'language': 'Vietnamese', 'author': 'DiepLe'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024444', 'language': 'Vietnamese', 'author': 'DiepLe'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024444', 'language': 'Vietnamese', 'author': 'DiepLe'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024444', 'language': 'Vietnamese', 'author': 'DiepLe'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024444', 'language': 'Vietnamese', 'author': 'DiepLe'}, {'sub_link': 'https://subscene.com//subtitles/avengersendgame/vietnamese/2024444', 'language': 'Vietnamese', 'author': 'DiepLe'}]"
2,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Mission: Impossible - Fallout (2018),437,"[{'sub_link': 'https://subscene.com//subtitles/mission-impossible-fallout/vietnamese/1826008', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/mission-impossible-fallout/vietnamese/1888825', 'language': 'Vietnamese', 'author': 'Red Foo'}, {'sub_link': 'https://subscene.com//subtitles/mission-impossible-fallout/vietnamese/1893739', 'language': 'Vietnamese', 'author': 'thanh_hahuy'}, {'sub_link': 'https://subscene.com//subtitles/mission-impossible-fallout/vietnamese/1898774', 'language': 'Vietnamese', 'author': 'cuongsmiles'}, {'sub_link': 'https://subscene.com//subtitles/mission-impossible-fallout/vietnamese/1892556', 'language': 'Vietnamese', 'author': 'TunBong'}]"
3,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Mad Max: Fury Road (2015),433,"[{'sub_link': 'https://subscene.com//subtitles/mad-max-fury-road-2015/vietnamese/1139365', 'language': 'Vietnamese', 'author': 'SystemTN'}, {'sub_link': 'https://subscene.com//subtitles/mad-max-fury-road-2015/vietnamese/1139365', 'language': 'Vietnamese', 'author': 'SystemTN'}, {'sub_link': 'https://subscene.com//subtitles/mad-max-fury-road-2015/vietnamese/1139365', 'language': 'Vietnamese', 'author': 'SystemTN'}, {'sub_link': 'https://subscene.com//subtitles/mad-max-fury-road-2015/vietnamese/1131906', 'language': 'Vietnamese', 'author': '0x8'}, {'sub_link': 'https://subscene.com//subtitles/mad-max-fury-road-2015/vietnamese/1139365', 'language': 'Vietnamese', 'author': 'SystemTN'}, {'sub_link': 'https://subscene.com//subtitles/mad-max-fury-road-2015/vietnamese/1136277', 'language': 'Vietnamese', 'author': 'duylinh2312'}, {'sub_link': 'https://subscene.com//subtitles/mad-max-fury-road-2015/vietnamese/1139365', 'language': 'Vietnamese', 'author': 'SystemTN'}, {'sub_link': 'https://subscene.com//subtitles/mad-max-fury-road-2015/vietnamese/2025233', 'language': 'Vietnamese', 'author': 'tavanthuc_a11'}, {'sub_link': 'https://subscene.com//subtitles/mad-max-fury-road-2015/vietnamese/1139365', 'language': 'Vietnamese', 'author': 'SystemTN'}, {'sub_link': 'https://subscene.com//subtitles/mad-max-fury-road-2015/vietnamese/1140687', 'language': 'Vietnamese', 'author': 'duylinh2312'}, {'sub_link': 'https://subscene.com//subtitles/mad-max-fury-road-2015/vietnamese/1170481', 'language': 'Vietnamese', 'author': 'dazhus'}, {'sub_link': 'https://subscene.com//subtitles/mad-max-fury-road-2015/vietnamese/1139365', 'language': 'Vietnamese', 'author': 'SystemTN'}, {'sub_link': 'https://subscene.com//subtitles/mad-max-fury-road-2015/vietnamese/1139365', 'language': 'Vietnamese', 'author': 'SystemTN'}, {'sub_link': 'https://subscene.com//subtitles/mad-max-fury-road-2015/vietnamese/1139365', 'language': 'Vietnamese', 'author': 'SystemTN'}, {'sub_link': 'https://subscene.com//subtitles/mad-max-fury-road-2015/vietnamese/1170651', 'language': 'Vietnamese', 'author': 'ivy68'}]"
4,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Spider-Man: Into the Spider-Verse (2018),392,"[{'sub_link': 'https://subscene.com//subtitles/spider-man-into-the-spider-verse/vietnamese/2126995', 'language': 'Vietnamese', 'author': 'Red Foo'}, {'sub_link': 'https://subscene.com//subtitles/spider-man-into-the-spider-verse/vietnamese/1939817', 'language': 'Vietnamese', 'author': 'Hash30'}, {'sub_link': 'https://subscene.com//subtitles/spider-man-into-the-spider-verse/vietnamese/1939889', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/spider-man-into-the-spider-verse/vietnamese/1939889', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/spider-man-into-the-spider-verse/vietnamese/1939889', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/spider-man-into-the-spider-verse/vietnamese/2046575', 'language': 'Vietnamese', 'author': 'bornfreeonekiss'}, {'sub_link': 'https://subscene.com//subtitles/spider-man-into-the-spider-verse/vietnamese/2046575', 'language': 'Vietnamese', 'author': 'bornfreeonekiss'}, {'sub_link': 'https://subscene.com//subtitles/spider-man-into-the-spider-verse/vietnamese/1939889', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/spider-man-into-the-spider-verse/vietnamese/1939889', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/spider-man-into-the-spider-verse/vietnamese/1945572', 'language': 'Vietnamese', 'author': 'Redz'}, {'sub_link': 'https://subscene.com//subtitles/spider-man-into-the-spider-verse/vietnamese/1939889', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/spider-man-into-the-spider-verse/vietnamese/1939889', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/spider-man-into-the-spider-verse/vietnamese/1940450', 'language': 'Vietnamese', 'author': 'ThePandA'}, {'sub_link': 'https://subscene.com//subtitles/spider-man-into-the-spider-verse/vietnamese/1940427', 'language': 'Vietnamese', 'author': 'Kkieudungg'}, {'sub_link': 'https://subscene.com//subtitles/spider-man-into-the-spider-verse/vietnamese/1939889', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/spider-man-into-the-spider-verse/vietnamese/2046575', 'language': 'Vietnamese', 'author': 'bornfreeonekiss'}, {'sub_link': 'https://subscene.com//subtitles/spider-man-into-the-spider-verse/vietnamese/1945572', 'language': 'Vietnamese', 'author': 'Redz'}]"
5,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,93%,Wonder Woman (2017),471,"[{'sub_link': 'https://subscene.com//subtitles/wonder-woman/vietnamese/211640', 'language': 'Vietnamese', 'author': 'nlsinh'}, {'sub_link': 'https://subscene.com//subtitles/wonder-woman/vietnamese/210427', 'language': 'Vietnamese', 'author': 'xrockvn'}]"
6,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Coco (2017),352,"[{'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1710148', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1710148', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/2197592', 'language': 'Vietnamese', 'author': 'truongbinhtran'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/2197592', 'language': 'Vietnamese', 'author': 'truongbinhtran'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/2197592', 'language': 'Vietnamese', 'author': 'truongbinhtran'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1710148', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1696930', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1696930', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1710148', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1696930', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1696930', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1710148', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1710148', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1710148', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1717741', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1717741', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1717741', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1717741', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1717741', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1717741', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1717741', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1717741', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1717741', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1717741', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/2197592', 'language': 'Vietnamese', 'author': 'truongbinhtran'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/2197592', 'language': 'Vietnamese', 'author': 'truongbinhtran'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1696930', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1710148', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1696930', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1696930', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1696930', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1696930', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1710148', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1696930', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}, {'sub_link': 'https://subscene.com//subtitles/coco/vietnamese/1710148', 'language': 'Vietnamese', 'author': 'KenhCuaDaoLeMinh'}]"
7,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,92%,Dunkirk (2017),461,"[{'sub_link': 'https://subscene.com//subtitles/dunkirk/vietnamese/1678801', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/dunkirk/vietnamese/1678801', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/dunkirk/vietnamese/1678801', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/dunkirk/vietnamese/1678801', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/dunkirk/vietnamese/1678801', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/dunkirk/vietnamese/1678801', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/dunkirk/vietnamese/1678784', 'language': 'Vietnamese', 'author': 'PhamThao03596'}, {'sub_link': 'https://subscene.com//subtitles/dunkirk/vietnamese/1678801', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/dunkirk/vietnamese/1678801', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/dunkirk/vietnamese/1678801', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/dunkirk/vietnamese/1678801', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/dunkirk/vietnamese/2208436', 'language': 'Vietnamese', 'author': 'Hidenclow'}]"
8,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,91%,Star Wars: The Last Jedi (2017),482,"[{'sub_link': 'https://subscene.com//subtitles/star-wars-the-last-jedi/vietnamese/1545015', 'language': 'Vietnamese', 'author': 'quangvu98'}, {'sub_link': 'https://subscene.com//subtitles/star-wars-the-last-jedi/vietnamese/1733652', 'language': 'Vietnamese', 'author': 'ivy68'}, {'sub_link': 'https://subscene.com//subtitles/star-wars-the-last-jedi/vietnamese/1767955', 'language': 'Vietnamese', 'author': 'QuangLeDuy'}]"
9,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,93%,Thor: Ragnarok (2017),436,"[{'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1705199', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1705199', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1705199', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1705199', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1705199', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1705199', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1705199', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1705199', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1705199', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1705199', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1723058', 'language': 'Vietnamese', 'author': 'QuangLeDuy'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1705511', 'language': 'Vietnamese', 'author': 'lastever139'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1707171', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/2047102', 'language': 'Vietnamese', 'author': 'bornfreeonekiss'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1707171', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/2047102', 'language': 'Vietnamese', 'author': 'bornfreeonekiss'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1722278', 'language': 'Vietnamese', 'author': 'dungsub'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1800269', 'language': 'Vietnamese', 'author': 'BatoTV'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1800265', 'language': 'Vietnamese', 'author': 'BatoTV'}, {'sub_link': 'https://subscene.com//subtitles/thor-ragnarok-thor-ragnark/vietnamese/1707171', 'language': 'Vietnamese', 'author': 'WorldSubTeamVN'}]"
